ID,NameNoAuthors,LongitudeDecimal,LatitudeDecimal
99,Librevillea klainei,9.46667,0.65
100,Microdesmis afrodecandra,10.38333,0.66666
105,Pinacopodium congolense,9.36666,0.5
107,Pinacopodium congolense,11.75,-0.45
113,Aucoumea klaineana,10.33333,2.41666
114,Dacryodes normandii,12.33333,0
115,Aucoumea klaineana,11.5,-0.41666
130,Rinorea campoensis,11.91666,0.41666
131,Tapura bouquetiana,11.5,-0.41666
132,Rinorea albidiflora,10.63333,-0.58333
134,Oncoba ngounyensis,10.28333,-1
135,Phyllobotryon bracteatum,11.93333,-0.2
137,Mapania pubisquama,10.65,-0.583333
143,Paropsiopsis decandra,9.83333,0
144,Paropsiopsis decandra,10.01666,-0.2
165,Dichapetalum bellum,12.23333,-0.35
166,Dichapetalum berendinae,11.75,-0.45
181,Plagiocladus diandrus,10.2833333,-1
182,Aubletiana macrostachys,11.5,-0.41666
183,Macaranga gabunica,9.83333,0
184,Aubletiana macrostachys,11.5,-0.41666
185,Aubletiana macrostachys,11.5,-0.41666
186,Plagiocladus diandrus,11.5,-0.4166667
187,Uapaca niangadoumae,9.3666667,0.511
188,Plagiocladus diandrus,9.9166667,-1.9166667
189,Dactyladenia bellayana,9.9166667,-1.9166667
191,Pogonophora letouzeyi,11.46666,-1.95
193,Aubletiana macrostachys,11.75,-0.45
194,Plagiocladus diandrus,11.75,-0.45
195,Plagiocladus diandrus,11.75,-0.45
197,Mareyopsis oligogyna,11.6666667,-0.25
199,Plagiocladus diandrus,11.5,-0.4166667
200,Aubletiana macrostachys,11.5,-0.41666
201,Plagiocladus diandrus,11.5,-0.4166667
203,Wilczekra gabonica,11.66666,-0.25
204,Wilczekra gabonica,12.23333,-0.35
205,Wilczekra gabonica,11.66666,-0.25
206,Dichapetalum bellum,11.81666,-1.16666
208,Alsodeiopsis zenkeri,10.36666,2.4
212,Laccodiscus spinulosodentatus,11.9166667,0.4166667
224,Cola lizae,11.5,-0.41666
225,Cola crispiflora,11.96666,0.45
226,Cola lizae,11.5,-0.41666
227,Cola lizae,11.66666,-0.25
228,Cola tsandensis,11.5,-0.41666
230,Rhabdophyllum letestui,11.8,0.06666
231,Testulea gabonensis,11.75,-0.0833333
232,Rhabdophyllum letestui,12,0.45
233,Testulea gabonensis,11.75,-0.0833333
234,Campylospermum occidentale,9.33333,0.58333
235,Testulea gabonensis,10.2833333,-1
236,Psorospermum membranaceum,11.3833333,-1.7
237,Trillesanthus excelsus,11.98333,0.4
238,Trillesanthus excelsus,12.23333,-0.35
247,Podococcus acaulis,10.2833333,-1
248,Podococcus acaulis,10.28333,-1
249,Podococcus acaulis,10.01666,-0.2
254,Combretum rabiense,10.8,-1.06666
255,Combretum esteriense,9.4,0.56666
256,Combretum esteriense,9.98333,0.43333
257,Combretum echirense,9.83333,0
258,Combretum clarense,9.83333,0
259,Combretum oudenhovenii,9.9166667,-1.9166667
260,Combretum rabiense,11.5,-0.41666
266,Warneckea wildeana,15.38333,-2.63333
270,Warneckea bebaiensis,9.9166667,-1.9166667
274,Synsepalum nyangense,11.66666,-0.25
276,Zeyherella mayumbensis,11.75,-0.45
277,Zeyherella mayumbensis,11.75,-0.45
279,Zeyherella mayumbensis,10.28333,-1
300,Secamone goyderi,10.6666667,-0.1666667
304,Streptocarpus mannii,10.38333,0.66666
305,Thomandersia laurentii,15.48333,-2.51666
307,Pseudocalyx macrophyllus,11.5,-0.41666
309,Aoranthe annulata,10.65,-0.58333
311,Pauridiantha mayumbensis,10.58333,-2.41666
313,Eugenia klaineana,9.33333,0.58333
314,Corynanthe mayumbensis,10.41666,-2.33333
315,Corynanthe mayumbensis,11.9,0.36666
316,Corynanthe mayumbensis,10.01666,-0.2
319,Corynanthe mayumbensis,11.5,-0.41666
321,Corynanthe mayumbensis,11.5,-0.41666
322,Aoranthe annulata,11.5,-0.41666
324,Pauridiantha smetsiana,9.91666,-1.91666
326,Pauridiantha smetsiana,9.9166667,-1.9166667
328,Temnopteryx sericea,10,1.08333
334,Pauridiantha smetsiana,10.28333,-1
335,Temnopteryx sericea,10.01666,-0.2
336,Aoranthe annulata,9.83333,0
337,Corynanthe mayumbensis,11.66666,-0.25
338,Cuviera cuvieroides,11.75,-0.45
